Name,EUR Notional,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Close Price
ROGz,15440277.234021728492,41619,27,380.55000000,81,380.45000000,380.45000000,0E-8
NOVNz,11843054.208671821474,148160,370,81.98000000,134,81.96000000,81.97000000,0E-8
SHELl,11834928.436033038200,470481,122,2108.50000000,170,2108.00000000,2107.50000000,0E-8
NESNz,11462415.200156601742,96458,68,121.90000000,92,121.88000000,121.88000000,0E-8
AZNl,7279876.035415057300,60189,322,10142.00000000,89,10138.00000000,10140.00000000,0E-8
CFRz,6984643.315063130077,60458,104,119.20000000,372,119.15000000,119.15000000,0E-8
VODl,6977377.772654346700,4660587,3543,125.32000000,768,125.30000000,125.30000000,0E-8
WPPl,6969988.724226038400,589862,210,994.60000000,397,994.40000000,994.40000000,0E-8
BARCl,6392960.058232812400,3677545,6244,146.26000000,262,146.18000000,146.18000000,0E-8
BPl,5671201.202685839900,1264891,1180,376.20000000,68,376.05000000,376.15000000,0E-8
RIOl,5474947.982648998800,74401,171,6159.00000000,149,6156.00000000,6159.00000000,0E-8
ULVRl,5270077.262463604500,125714,5,3523.00000000,282,3522.00000000,3522.50000000,0E-8
GLENl,4979526.686077604100,822974,678,507.30000000,26,507.10000000,507.30000000,0E-8
DGEl,4836926.718759284600,105066,138,3897.00000000,73,3896.50000000,3896.50000000,0E-8
GIVNz,4699940.784966232749,1248,6,3856.00000000,6,3854.00000000,3856.00000000,0E-8
NWGl,4356961.418384930800,1705945,9665,214.30000000,3101,214.10000000,214.20000000,0E-8
ABBNz,4239756.303220123324,145213,1066,29.70000000,1087,29.68000000,29.69000000,0E-8
FERGl,4089152.861132568800,33750,60,10185.00000000,157,10180.00000000,10180.00000000,0E-8
RKTl,3961579.915621843200,55751,223,5968.00000000,328,5964.00000000,5966.00000000,0E-8
AALl,3916620.325034167200,80924,99,4053.00000000,58,4051.00000000,4052.50000000,0E-8
BHPl,3905300.481312020900,109604,42,2999.00000000,88,2997.00000000,2998.50000000,0E-8
SIKAz,3804771.752960751688,12617,133,308.80000000,14,308.70000000,308.80000000,0E-8
HSBAl,3503448.199536514400,561872,1560,524.00000000,877,523.80000000,524.00000000,0E-8
BATSl,3245341.101669736800,84480,52,3231.50000000,237,3230.50000000,3231.50000000,0E-8
BAl,3001309.086695585000,344292,1550,731.40000000,1141,731.00000000,731.20000000,0E-8
HBRl,2958828.434844613500,518719,348,477.90000000,16,477.40000000,477.50000000,0E-8
ZURNz,2919328.031711852794,6542,59,455.00000000,52,454.90000000,454.80000000,0E-8
LOGNz,2789652.725849075071,41358,118,68.80000000,49,68.74000000,68.78000000,0E-8
EZJl,2600600.834274169600,401786,746,544.60000000,2461,543.80000000,544.40000000,0E-8
KNINz,2342222.961730449251,9255,65,257.20000000,35,257.00000000,257.00000000,0E-8
GSKl,2334563.442866480500,118230,77,1658.20000000,10,1658.00000000,1658.60000000,0E-8
CPGl,2317931.546734803000,122425,591,1603.00000000,258,1602.00000000,1602.50000000,0E-8
LSEGl,2297303.511795115600,23937,12,8074.00000000,25,8070.00000000,8074.00000000,0E-8
LLOYl,2257671.786232099400,4035577,3655,46.83000000,348,46.81500000,46.83000000,0E-8
LONNz,2130767.250660663600,3226,31,674.60000000,12,674.20000000,674.60000000,0E-8
PRUl,2094286.651019074200,156681,625,1127.50000000,1583,1126.50000000,1127.00000000,0E-8
RELl,1993158.666587438400,70273,108,2392.00000000,290,2391.00000000,2392.00000000,0E-8
SRENz,1992251.619849270823,23255,183,87.48000000,219,87.44000000,87.46000000,0E-8
UBSGz,1952413.962024077518,109924,504,18.18500000,1326,18.18000000,18.17500000,0E-8
SLHNz,1918027.013800528531,3274,113,600.20000000,8,599.80000000,599.80000000,0E-8
IAGl,1800085.264483926600,1086958,3876,139.30000000,4103,139.20000000,139.20000000,0E-8
AHTl,1762374.656842355500,30965,39,4791.00000000,37,4788.00000000,4786.00000000,0E-8
SCMNz,1724380.933737887834,3260,16,539.40000000,86,539.20000000,539.60000000,0E-8
SOONz,1606046.197513947343,4264,7,382.50000000,6,382.30000000,382.50000000,0E-8
STANl,1581664.593261631700,263618,1093,503.20000000,9,503.00000000,503.20000000,0E-8
PGHNz,1552902.760105706176,1387,12,1142.50000000,28,1141.50000000,1142.00000000,0E-8
NGl,1540050.300077247600,110733,503,1170.50000000,16,1170.00000000,1170.50000000,0E-8
KGFl,1523135.909442034600,487449,1048,260.20000000,1490,260.00000000,260.20000000,0E-8
SNl,1518161.221700635800,103835,199,1231.50000000,329,1230.50000000,1231.00000000,0E-8
SCHPz,1459265.244200841734,7567,33,195.00000000,34,194.80000000,194.80000000,0E-8
TSCOl,1436152.334066195300,430506,1768,282.00000000,361,281.90000000,281.95000000,0E-8
ALCz,1430542.664187139082,19844,190,73.78000000,80,73.72000000,73.76000000,0E-8
CSGNz,1417191.036507781149,196000,1156,7.40400000,734,7.39800000,7.40200000,0E-8
UHRz,1398295.487912303024,5459,65,261.90000000,44,261.60000000,261.70000000,0E-8
SSEl,1338845.825658090200,64546,433,1742.00000000,606,1740.50000000,1741.50000000,0E-8
IHGl,1318433.394735278400,21838,82,5118.00000000,56,5116.00000000,5118.00000000,0E-8
PSNl,1311566.094242082100,51043,222,2189.00000000,101,2186.00000000,2187.00000000,0E-8
BAERz,1299978.633649799354,24546,5,54.26000000,364,54.18000000,54.21000000,0E-8
HOLNz,1297751.008123715376,29312,132,45.16000000,139,45.14000000,45.13000000,0E-8
SFORl,1250637.598193594400,321439,2377,320.80000000,476,319.20000000,319.60000000,0E-8
JDl,1232010.802186701500,684071,985,152.25000000,1313,152.15000000,152.20000000,0E-8
TPKl,1206115.511913958000,80472,172,1262.00000000,100,1260.50000000,1260.50000000,0E-8
IDUSl,1194145.392236699240,29186,3313,45.22750000,134,44.80250000,45.21250000,0E-8
EXPNl,1191771.971002436300,34222,160,2926.00000000,87,2924.00000000,2924.00000000,0E-8
NXTl,1111894.634262285300,15330,83,6098.00000000,292,6094.00000000,6095.00000000,0E-8
BTl,1109142.404777467500,509362,561,182.75000000,21,182.65000000,182.75000000,0E-8
GEBNz,1094824.997553097778,1954,14,570.80000000,26,570.40000000,570.60000000,0E-8
CRDAl,1072208.378394438200,11420,17,7832.00000000,36,7824.00000000,7828.00000000,0E-8
TWl,1060823.982114207600,678918,121,132.35000000,3070,132.25000000,132.20000000,0E-8
ADENz,1015016.125085641578,25060,17,41.32000000,518,41.29000000,41.31000000,0E-8
CSPXl,942662.712631197973,2241,100,465.06000000,100,464.94000000,464.90000000,0E-8
STMNz,926718.704120583341,635,5,1496.00000000,1,1493.50000000,1496.00000000,0E-8
RMVl,917724.849961376196,119296,306,652.00000000,1353,651.60000000,651.80000000,0E-8
MNDIl,911608.717095489928,51246,269,1501.50000000,30,1500.00000000,1501.50000000,0E-8
LGENl,889324.133935468536,275036,3723,270.80000000,2094,270.50000000,270.60000000,0E-8
RRl,886436.185037732486,752510,802,99.63000000,19,99.57000000,99.61000000,0E-8
ENTl,840251.969814011528,42887,103,1646.50000000,4,1645.50000000,1645.00000000,0E-8
HASl,820570.818230435558,576900,3095,119.30000000,1537,119.10000000,119.20000000,0E-8
CCHl,806481.353615782281,42980,141,1590.00000000,174,1588.50000000,1589.50000000,0E-8
ABFl,801618.625586784717,40798,167,1666.00000000,351,1665.00000000,1665.00000000,0E-8
INFl,764417.645730584111,107237,239,601.00000000,488,600.40000000,600.50000000,0E-8
VACNz,751078.692375452677,2208,25,345.60000000,14,345.20000000,345.20000000,0E-8
SGSNz,733783.400215327396,295,6,2541.00000000,5,2539.00000000,2540.00000000,0E-8
AUTOl,718531.209222176006,94779,175,640.80000000,12,640.40000000,640.20000000,0E-8
WIZZl,704351.030958464555,20696,28,2824.00000000,43,2819.00000000,2823.00000000,0E-8
ADMl,692840.085566581496,22716,233,2549.00000000,35,2547.00000000,2549.00000000,0E-8
AVl,657621.944857091925,125672,1400,438.40000000,1300,438.20000000,438.30000000,0E-8
WTBl,652497.474597421118,19243,92,2854.00000000,42,2851.00000000,2852.00000000,0E-8
MKSl,649490.147067561947,342633,906,159.45000000,1958,159.25000000,159.35000000,0E-8
IIIl,640491.776100778418,38785,123,1389.50000000,260,1387.50000000,1388.50000000,0E-8
BARNz,632526.181853773123,291,8,2238.00000000,24,2234.00000000,2236.00000000,0E-8
STJl,618586.743121991800,36215,181,1434.50000000,19,1432.50000000,1433.00000000,0E-8
ANTOl,616499.073028700458,30607,136,1679.50000000,100,1678.00000000,1679.00000000,0E-8
AVVl,611987.735456652208,20969,59,2466.00000000,2,2464.00000000,2464.00000000,0E-8
SGEl,606650.796838790184,70966,539,720.80000000,291,720.00000000,720.60000000,0E-8
SMINl,596916.563669855606,34933,161,1433.00000000,241,1432.00000000,1432.50000000,0E-8
SGROl,596328.430090914493,36996,264,1354.00000000,12,1353.00000000,1353.50000000,0E-8
TEMNz,594289.125966526378,6764,19,90.24000000,92,90.04000000,90.04000000,0E-8
BDEVl,589028.131202091628,95271,562,522.20000000,1501,521.60000000,521.20000000,0E-8
SPXl,561395.923703131499,3728,32,12630.00000000,9,12620.00000000,12625.00000000,0E-8
SDRl,555850.745736526234,14553,434,3216.00000000,77,3212.00000000,3214.00000000,0E-8
VUSAl,546313.821379761127,7011,58,65.63750000,20,65.53000000,65.61000000,0E-8
MSEm,545745.940000000000,14200,1199,38.91500000,14000,38.83500000,39.06000000,0E-8
BNZLl,532942.783290748113,14879,117,3023.00000000,127,3020.00000000,3020.00000000,0E-8
IMBl,528090.278685602234,27302,182,1624.50000000,297,1623.50000000,1624.00000000,0E-8
ITRKl,521066.207142432705,8386,106,5228.00000000,122,5220.00000000,5226.00000000,0E-8
FLTRl,506848.761067205419,4855,20,8776.00000000,20,8766.00000000,8768.00000000,0E-8
SIGNz,503347.401389840462,21639,77,23.84000000,311,23.80000000,23.82000000,0E-8
BMEl,501552.495097747935,77452,16,543.60000000,917,543.20000000,543.40000000,0E-8
SXSl,500097.813298472874,16600,65,2528.00000000,150,2525.00000000,2527.00000000,0E-8
RTOl,485865.860122407749,78229,338,521.80000000,838,521.40000000,521.60000000,0E-8
SVTl,481626.644482738131,13067,33,3100.00000000,79,3098.00000000,3099.00000000,0E-8
BRWl,462244.506506625468,75962,2325,512.00000000,30031,511.00000000,512.00000000,0E-8
BWYl,459541.268049200784,15832,210,2446.00000000,325,2443.00000000,2445.00000000,0E-8
HLMAl,457818.872184918890,15410,453,2495.00000000,91,2492.00000000,2493.00000000,0E-8
ECMl,456281.175352070830,36350,1,1059.00000000,83,1058.00000000,1058.00000000,0E-8
CNAl,450782.115158357597,482324,1676,78.96000000,4501,78.90000000,78.86000000,0E-8
ABDNl,450550.061203874265,177010,1431,213.40000000,10,213.20000000,213.40000000,0E-8
DARKl,446871.247251767782,83283,246,450.10000000,14,449.00000000,450.00000000,0E-8
DLGl,438966.974864816685,133739,641,275.90000000,1593,275.70000000,275.70000000,0E-8
HWDNl,438074.858874561768,47083,457,781.60000000,3,781.20000000,781.20000000,0E-8
TATEl,436651.052350109929,49707,145,740.20000000,451,739.60000000,740.00000000,0E-8
DCCl,431769.814011527720,6130,33,5912.00000000,59,5908.00000000,5910.00000000,0E-8
VUKEl,431316.958821082655,10910,12764,33.22000000,6655,33.20500000,33.27500000,0E-8
CEYl,423030.347138867431,381392,903,93.54000000,121,93.48000000,93.50000000,0E-8
RMGl,419977.557192940757,108511,1955,323.70000000,250,323.50000000,323.40000000,0E-8
PSPNz,417599.833610648918,3531,77,121.10000000,141,120.90000000,121.00000000,0E-8
CRHl,404136.193475548161,11164,56,3047.00000000,100,3044.00000000,3044.50000000,0E-8
LANDz,396873.593031222472,7371,29,54.75000000,105,54.55000000,54.85000000,0E-8
LANDl,396405.170836056807,43183,294,771.00000000,14,770.20000000,770.60000000,0E-8
VUSDl,377726.805103148751,4850,800,86.07250000,20,85.94000000,86.04500000,0E-8
BALNz,373838.064010962122,2294,30,166.40000000,153,166.10000000,166.25000000,0E-8
BKGl,368507.879256046111,8297,1,3753.00000000,4,3751.00000000,3753.00000000,0E-8
HIKl,352690.718402757145,14395,657,2063.00000000,1,2061.00000000,2064.00000000,0E-8
IFCNz,342473.328765782519,352,7,1004.00000000,2,995.00000000,999.00000000,0E-8
OCDOl,341152.079743300256,24251,840,1180.00000000,121,1178.00000000,1180.00000000,0E-8
BANBz,341092.297151805814,667,40,525.50000000,5,524.50000000,525.00000000,0E-8
UUl,334897.245825658090,24908,304,1133.00000000,650,1132.00000000,1132.50000000,0E-8
BRBYl,333486.743121991800,16896,107,1660.50000000,200,1659.00000000,1659.50000000,0E-8
AMSz,331360.404228247039,23847,238,14.18500000,143,14.16000000,14.16500000,0E-8
DUFNz,330580.733091905647,8844,23,38.06000000,1,38.01000000,38.04000000,0E-8
EXS2d,329505.890000000000,11027,13498,29.83500000,1678,29.81000000,29.82000000,0E-8
ICPl,321708.259551963872,15044,102,1806.50000000,339,1803.50000000,1804.50000000,0E-8
MNGl,291474.600986392537,110523,1326,220.80000000,1796,220.50000000,220.60000000,0E-8
SKGl,288139.580486065720,7157,200,3371.00000000,299,3366.00000000,3371.00000000,0E-8
SMDSl,278828.248261928813,73461,526,319.00000000,181,318.60000000,318.80000000,0E-8
SPSNz,272806.841538612117,2998,45,93.25000000,78,93.10000000,93.20000000,0E-8
AMLl,262373.605086457900,22892,218,963.40000000,459,956.80000000,965.00000000,0E-8
TECNz,261325.535871586571,715,6,374.00000000,6,372.60000000,373.00000000,0E-8
ITVl,259455.655951036901,264988,921,82.36000000,1419,82.32000000,82.34000000,0E-8
HSVl,255062.956800760592,25053,141,853.50000000,152,852.50000000,853.50000000,0E-8
DRXl,253496.274288430685,27019,118,795.00000000,586,792.00000000,791.50000000,0E-8
LSSp,251741.400000000000,5826,0,0E-8,0,0E-8,43.50000000,0E-8
DLNl,237501.408283320459,6279,55,3186.00000000,9,3178.00000000,3180.00000000,0E-8
CTECl,235685.648582803494,92407,1812,213.60000000,247,213.20000000,213.20000000,0E-8
FINz,231261.622785553489,214,4,1100.00000000,5,1095.00000000,1096.00000000,0E-8
SMSNl,229142.689106044155,178,34,1500.00000000,3,1419.50000000,1420.50000000,0E-8
BX4p,224209.985000000000,176009,71455,1.27820000,71455,1.27720000,1.27880000,0E-8
FRESl,222595.583813655000,24900,79,751.40000000,666,750.60000000,751.20000000,0E-8
WEIRl,222148.036128112187,11191,140,1666.50000000,144,1664.50000000,1665.00000000,0E-8
BOSNz,222065.185475188411,1069,44,211.00000000,36,209.50000000,211.00000000,0E-8
HLl,221971.145641452255,18675,80,1002.00000000,186,1000.50000000,1001.00000000,0E-8
SSPGl,220414.531463545071,83314,849,221.90000000,6,221.50000000,221.70000000,0E-8
PSONl,216321.416602293660,24442,56,745.00000000,112,744.60000000,745.00000000,0E-8
LQDEl,215653.130655085052,2070,4179,115.22000000,2200,114.99000000,115.14000000,0E-8
MROl,215614.337750311962,146219,1783,124.15000000,1764,124.00000000,124.00000000,0E-8
FUTRl,214810.446253490998,6948,102,2602.00000000,51,2598.00000000,2600.00000000,0E-8
JMATl,214008.886446015806,9544,5,1885.50000000,2,1883.50000000,1885.00000000,0E-8
IDIAz,207595.957717529608,11277,75,18.85000000,224,18.79000000,18.81000000,0E-8
PHNXl,204802.416067502525,27717,809,622.40000000,104,622.00000000,621.60000000,0E-8
FHZNz,199586.082020162474,1262,4,160.70000000,15,160.50000000,160.50000000,0E-8
DPHl,199233.834452433300,4065,55,4134.00000000,90,4130.00000000,4134.00000000,0E-8
GAWl,197318.586962980569,2286,13,7260.00000000,45,7240.00000000,7260.00000000,0E-8
VMUKl,196936.645671162874,95681,94,173.30000000,739,172.95000000,173.00000000,0E-8
CSPl,192768.175173807119,59832,1472,272.00000000,290,271.60000000,271.60000000,0E-8
DPLMl,190938.023649652386,6088,296,2620.00000000,59,2614.00000000,2616.00000000,0E-8
WGl,188173.005823281241,98775,87,161.20000000,100,160.50000000,160.80000000,0E-8
CSSPXz,188012.576909156714,447,100,465.10000000,100,464.90000000,465.15000000,0E-8
KAPl,185816.132826637713,6821,143,29.98000000,20,29.14000000,29.84000000,0E-8
MBTNz,182667.128021924244,455078,5360,0.40920000,15312,0.40740000,0.40740000,0E-8
WOSGl,182470.372571156931,13427,177,1145.00000000,462,1139.00000000,1140.00000000,0E-8
EXX1d,181447.776000000000,20228,9798,8.97300000,1600,8.95700000,8.95600000,0E-8
AAFl,180555.488739675560,105797,556,145.10000000,302,144.90000000,145.10000000,0E-8
SBRYl,179951.039277437756,60072,1270,252.80000000,1069,252.60000000,252.50000000,0E-8
CSSPXm,168568.000000000000,400,200,421.80000000,200,421.38000000,421.44000000,0E-8
SAFEl,167092.489155624220,10478,136,1337.00000000,2,1335.00000000,1336.00000000,0E-8
RIGDl,167013.888888888889,2627,109,70.45000000,31,70.05000000,70.30000000,0E-8
EMGl,166472.931249628617,58642,184,239.00000000,1939,238.80000000,238.80000000,0E-8
SMWHl,166263.259849070058,9752,29,1431.50000000,225,1429.50000000,1430.50000000,0E-8
BBOXl,165099.347554816091,56651,45,245.80000000,795,245.40000000,245.60000000,0E-8
EXH1d,162727.030000000000,4988,11478,32.45500000,3826,32.43500000,32.50000000,0E-8
BEANz,162565.576979543897,340,6,489.00000000,11,487.50000000,487.50000000,0E-8
ROOl,158403.717986808485,113405,381,117.80000000,3675,117.10000000,117.25000000,0E-8
INDVl,150429.255451898509,42632,181,297.00000000,477,296.00000000,295.80000000,0E-8
RORl,150260.371976944560,39266,972,321.60000000,241,321.00000000,321.20000000,0E-8
CACp,148679.100000000000,2263,2263,65.80000000,2263,65.74000000,65.70000000,0E-8
ROz,147996.770089067241,360,6,422.60000000,22,421.60000000,422.00000000,0E-8
NETWl,147682.671578822271,42882,609,291.00000000,926,289.80000000,290.60000000,0E-8
ABBs,144492.692605497484,4924,1000,301.40000000,1000,300.90000000,300.70000000,0E-8
BLNDl,144318.168637471032,23274,129,520.80000000,919,520.40000000,520.60000000,0E-8
LVCp,144308.835000000000,5049,5050,28.58500000,1683,28.56500000,28.57000000,0E-8
SGLNl,143238.528730168162,4202,1603,2871.00000000,1603,2867.00000000,2869.00000000,0E-8
SCHNz,141516.198492708231,737,12,194.20000000,10,193.80000000,194.00000000,0E-8
EMSNz,139996.574336889498,161,6,888.00000000,1,886.50000000,887.50000000,0E-8
IUSAa,139847.680000000000,3412,109,41.96000000,18,40.10000000,40.98600000,0E-8
INCHl,135581.243686493553,16729,195,683.00000000,721,681.50000000,682.00000000,0E-8
IMEUa,132732.515000000000,4660,11056,28.52000000,3685,28.50500000,28.52000000,0E-8
ISFl,132680.717808544774,15027,14879,742.00000000,14879,741.40000000,741.80000000,0E-8
INVPl,132612.170657793095,21697,190,515.80000000,69,513.80000000,513.80000000,0E-8
PLUSl,130066.058589339830,7678,179,1427.00000000,61,1425.00000000,1426.00000000,0E-8
TRNl,129590.337512627013,41972,181,260.80000000,579,260.50000000,260.80000000,0E-8
THGl,126671.109869867491,116134,15,92.86000000,1506,92.32000000,92.74000000,0E-8
PNNl,125480.438528730168,9763,829,1084.00000000,900,1082.00000000,1083.00000000,0E-8
EXV1d,125387.750000000000,9155,11044,13.72800000,22203,13.71600000,13.72000000,0E-8
ASCl,122622.360211539604,6179,101,1702.00000000,33,1699.00000000,1700.50000000,0E-8
EDPu,121880.000000000000,27500,203,5.04000000,0,0E-8,4.43200000,0E-8
CLNz,121378.912596652638,7720,744,16.06000000,1046,16.02000000,16.03000000,0E-8
MGGTl,120850.181234773308,13351,89,762.00000000,223,761.60000000,762.00000000,0E-8
XLESl,118229.460731089396,270,100,484.44000000,100,482.90000000,483.37000000,0E-8
VTYl,116335.346722918771,10376,21,948.50000000,203,946.00000000,947.50000000,0E-8
GALEz,111147.743956151512,1588,77,71.40000000,18,71.30000000,71.35000000,0E-8
LISNz,110306.352158167760,1,1,112900.00000000,1,112400.00000000,112700.00000000,0E-8
LISPz,109738.670842713125,10,1,11260.00000000,2,11180.00000000,11240.00000000,0E-8
OERLz,109259.467064696095,15031,9,7.41000000,371,7.40000000,7.41000000,0E-8
888l,108905.827440727316,46819,109,198.50000000,348,197.80000000,197.50000000,0E-8
PETSl,106991.364905817339,25195,429,355.00000000,825,354.60000000,354.80000000,0E-8
QLTl,105836.409768851387,61925,715,143.65000000,494,143.45000000,143.55000000,0E-8
DKSHz,103934.692179700499,1381,3,77.20000000,1,77.05000000,77.15000000,0E-8
FORNz,103231.868454536557,68,4,1546.00000000,1,1538.00000000,1544.00000000,0E-8
BYGl,102543.781567532236,5648,170,1528.00000000,85,1525.00000000,1525.00000000,0E-8
SFSNz,102505.040618576882,840,16,124.60000000,8,123.80000000,124.40000000,0E-8
QQl,101804.294967021213,27606,180,309.80000000,1547,309.20000000,309.60000000,0E-8
ONTl,101718.378988650544,21783,663,387.00000000,103,386.00000000,387.00000000,0E-8
CCRl,100392.096975459029,42371,323,200.80000000,891,199.80000000,199.80000000,0E-8
FXPOl,99712.328718283915,42843,171,190.70000000,171,188.80000000,189.70000000,0E-8
APAMa,98809.090000000000,2483,0,0E-8,119,39.67000000,39.62000000,0E-8
GFTUl,98700.950145582031,8445,355,986.50000000,268,980.90000000,982.10000000,0E-8
SFZNz,98557.306450034257,129,1,778.00000000,4,777.00000000,776.00000000,0E-8
ENOGl,98490.932319210886,6628,16,1259.00000000,157,1255.00000000,1260.00000000,0E-8
UDVDl,98367.037640246109,1517,14,71.52000000,720,71.38000000,71.68000000,0E-8
IGGl,96833.691841464139,9881,254,826.00000000,270,823.50000000,826.50000000,0E-8
ADSd,95411.275000000000,459,138,274.00000000,7,181.00000000,207.62500000,0E-8
GRGl,89869.451541981104,3070,211,2460.00000000,72,2456.00000000,2458.00000000,0E-8
COTNz,88399.236566506802,347,21,260.50000000,57,258.50000000,259.00000000,0E-8
GKPl,88005.484580188960,29591,713,249.50000000,704,247.00000000,247.50000000,0E-8
BPTl,87327.109156812645,20261,185,358.60000000,144,357.40000000,357.80000000,0E-8
SQNz,87316.482333365959,534,16,167.70000000,28,166.30000000,167.50000000,0E-8
GROWl,86348.663022164121,9151,110,794.50000000,12,791.50000000,793.00000000,0E-8
MDCl,85089.601283498722,19780,625,361.40000000,329,360.80000000,360.80000000,0E-8
WISEl,84730.393962802306,14236,266,502.00000000,731,499.90000000,499.70000000,0E-8
SUNz,83554.712733679162,1117,139,76.50000000,11,76.25000000,76.40000000,0E-8
SGCl,83104.204646740745,66537,7523,105.30000000,35500,105.10000000,105.20000000,0E-8
FRASl,81060.591835522016,10453,272,651.50000000,564,649.50000000,648.00000000,0E-8
TGAl,80122.704854715075,6383,176,1066.00000000,176,1053.00000000,1060.50000000,0E-8
SRPl,77583.710856260027,44732,455,145.50000000,536,145.40000000,145.40000000,0E-8
EXSAd,76479.200000000000,1679,3432,45.43500000,3432,45.40500000,45.41500000,0E-8
CNEl,74125.462000118842,27896,722,224.40000000,2948,223.20000000,223.80000000,0E-8
ROSEz,73670.157580503083,570,16,132.50000000,3,132.20000000,132.30000000,0E-8
SVSl,72954.209994652089,5568,67,1101.00000000,393,1099.00000000,1100.00000000,0E-8
SNNl,71867.437162041714,6665,5,908.00000000,2100,906.00000000,907.00000000,0E-8
JUSTl,69681.572285934993,60449,4,95.15000000,1638,94.95000000,95.10000000,0E-8
IUSAm,69677.900000000000,1700,1700,41.01300000,1700,40.99200000,40.98700000,0E-8
BABl,69209.010636401450,17844,125,324.60000000,591,324.00000000,324.60000000,0E-8
LREl,68219.068275001486,13190,548,432.40000000,113,431.80000000,432.20000000,0E-8
EIMIl,68149.258052841115,2231,0,0E-8,746,33.82000000,33.76000000,0E-8
BCVNz,67891.210727219340,856,11,81.00000000,47,80.85000000,81.00000000,0E-8
MNZSl,67069.629805692555,9423,4100,601.00000000,7294,599.00000000,599.00000000,0E-8
SCTl,66200.724939093232,3288,176,1698.00000000,112,1696.00000000,1700.00000000,0E-8
CBGl,66149.872244340127,4655,37,1198.00000000,174,1193.00000000,1195.00000000,0E-8
IWGl,65532.998989838968,21120,245,260.10000000,28,259.70000000,259.70000000,0E-8
OSBl,64783.587854299127,9567,655,569.50000000,306,568.50000000,569.00000000,0E-8
HSXl,63315.954602174817,5397,202,985.60000000,37,984.60000000,985.40000000,0E-8
ACWDl,62539.585595367354,362,50,194.30000000,104,190.73000000,190.98000000,0E-8
LMPl,61426.404420940044,18756,6,275.00000000,651,274.60000000,274.80000000,0E-8
IUSAz,61393.865363735071,1500,1500,45.26500000,1500,45.20000000,45.23500000,0E-8
BAYNd,61277.325000000000,948,90,69.00000000,21,60.20000000,64.57500000,0E-8
EXSId,61170.965000000000,1414,6825,43.40000000,6825,43.37500000,43.31000000,0E-8
PHPl,59664.009745082893,33607,1082,150.00000000,4798,149.40000000,149.50000000,0E-8
EXV6d,59526.220000000000,807,9114,73.76000000,7806,73.41000000,73.73000000,0E-8
UTGl,58527.547685542813,4241,338,1160.00000000,100,1158.00000000,1158.00000000,0E-8
RDWl,58517.175708598253,9486,386,520.50000000,180,519.50000000,518.00000000,0E-8
HMSOl,58248.608354625943,152657,4555,32.19000000,2350,32.09000000,32.07000000,0E-8
ASHMl,57999.948897736051,20929,501,234.40000000,169,233.60000000,234.00000000,0E-8
MIDDl,56717.651672707826,2394,1000,1998.00000000,1000,1983.40000000,1993.00000000,0E-8
BBYl,55628.289262582447,18301,648,255.80000000,1439,255.20000000,255.60000000,0E-8
EXW1d,55456.660000000000,1417,3004,39.22500000,2366,39.20500000,39.20000000,0E-8
HSBKl,55426.687477379660,6128,3956,10.12000000,202,9.97000000,10.06000000,0E-8
BEZl,54846.866718165072,11118,30,415.60000000,1136,414.40000000,414.80000000,0E-8
STMp,54196.305000000000,1413,38,49.41000000,0,0E-8,38.31500000,0E-8
LYP6d,53283.520000000000,269,269,198.10000000,807,197.86000000,198.08000000,0E-8
STLAm,53122.442000000000,3656,0,0E-8,0,0E-8,14.55200000,0E-8
ARYNz,52645.258882255065,56684,3330,0.93650000,3330,0.92700000,0.93200000,0E-8
BBVAe,50974.942500000000,9649,0,0E-8,0,0E-8,5.25750000,0E-8
WIXl,50952.428545962327,22746,184,188.80000000,141,188.20000000,188.60000000,0E-8
IMIl,50204.872541446313,3131,343,1340.00000000,119,1337.00000000,1339.00000000,0E-8
POLYl,50153.231921088597,12771,631,333.20000000,818,321.10000000,329.10000000,0E-8
APFl,50115.890427238695,23755,1195,177.40000000,280,175.80000000,176.40000000,0E-8
ERMl,49895.068037316537,4247,57,981.00000000,5,979.00000000,981.00000000,0E-8
TEDl,49731.670330976291,30120,281,144.00000000,500,142.40000000,141.80000000,0E-8
JETl,48793.285400202032,1446,58,2800.00000000,55,2791.00000000,2802.00000000,0E-8
CURYl,48504.197219086101,42427,883,96.25000000,2489,96.10000000,96.30000000,0E-8
PINl,48494.378750965595,12747,0,0E-8,736,316.50000000,320.75000000,0E-8
MIPSs,48440.147115756872,582,29,857.60000000,0,0E-8,857.60000000,0E-8
HTWSl,48415.978370669677,34606,468,116.90000000,3350,116.00000000,116.80000000,0E-8
BKWz,48257.805618087501,428,72,114.80000000,34,114.70000000,114.70000000,0E-8
RCPl,48103.422663259849,1596,275,2540.00000000,119,2525.00000000,2535.00000000,0E-8
EDVl,47639.847881632896,2030,94,1994.00000000,94,1986.00000000,1990.00000000,0E-8
TUIl,47158.292233644304,16760,55,236.10000000,526,235.70000000,235.80000000,0E-8
VCTl,46750.769505021095,2164,57,1819.00000000,45,1816.00000000,1818.00000000,0E-8
MOONl,45181.124249806881,16257,152,234.00000000,22,233.20000000,233.40000000,0E-8
PAGEl,45002.807059242973,7909,109,477.20000000,321,476.20000000,476.00000000,0E-8
NEXl,44318.592905104284,16231,1313,229.80000000,409,229.20000000,229.60000000,0E-8
